タイトル,生産者,ヴィンテージ,産地,アペラシオン,品種,容量ml,保管状態,説明,RPスコア,WSスコア,開始価格,終了時間(時間),ワイン種別,正面画像URL,背面画像URL,キャップ画像URL
シャトー・ラフィット・ロスチャイルド 2016 750ml,Château Lafite Rothschild,2016,フランス / ボルドー,Pauillac AOC 1er Grand Cru,Cab.S 92% / Merlot 8%,750,木箱未開封 / 温度管理済みセラー保管,ボルドー五大シャトーの一角。2016年は長期熟成に向く当たり年です。正規輸入品・木箱未開封でお届けします。,98,97,180000,96,赤,,,
シャトー・ムートン・ロスチャイルド 2018 750ml,Château Mouton Rothschild,2018,フランス / ボルドー,Pauillac AOC 1er Grand Cru,Cab.S 90% / Merlot 9%,750,木箱未開封 / 温度管理済みセラー保管,毎年アートラベルで知られるポイヤックの1級。2018年は凝縮感の高いヴィンテージです。,98,97,150000,96,赤,,,
シャトー・オー・ブリオン 2015 750ml,Château Haut-Brion,2015,フランス / ボルドー,Pessac-Léognan AOC 1er Grand Cru,Merlot 48% / Cab.S 42%,750,木箱未開封 / 温度管理済みセラー保管,グラーヴ唯一の1級格付。2015年は評価誌で満点評価を得たヴィンテージです。,100,98,140000,96,赤,,,
シャトー・ラトゥール 2014 750ml,Château Latour,2014,フランス / ボルドー,Pauillac AOC 1er Grand Cru,Cab.S 90% / Merlot 9%,750,木箱未開封 / 温度管理済みセラー保管,力強い構造と長命さで知られるポイヤックの1級。リリース後熟成を経た状態でのご提供です。,96,95,130000,72,赤,,,
シャトー・パルメ 2016 750ml,Château Palmer,2016,フランス / ボルドー,Margaux AOC 3ème Grand Cru,Merlot 47% / Cab.S 46%,750,未開封 / OWC / 温度管理済み,3級格付ながら1級に迫る評価を受けるマルゴーの実力派。2016年は近年屈指の出来です。,97,96,55000,72,赤,,,
シャトー・パヴィ 2016 750ml,Château Pavie,2016,フランス / ボルドー,Saint-Émilion Grand Cru Classé A,Merlot 60% / Cab.F 30%,750,未開封 / 木箱付き,サンテミリオン最上格付のシャトー。豊満な果実味と滑らかなタンニンが特徴です。,98,96,45000,72,赤,,,
シャトー・ディケム 2015 750ml,Château d'Yquem,2015,フランス / ボルドー,Sauternes AOC 1er Cru Supérieur,Sémillon 80% / Sauvignon 20%,750,未開封 / 木箱付き,ソーテルヌ唯一の特別1級。貴腐ワインの最高峰として知られる甘口白です。,99,97,60000,96,白,,,
アルマン・ルソー シャンベルタン 2018 750ml,Domaine Armand Rousseau,2018,フランス / ブルゴーニュ,Chambertin Grand Cru,Pinot Noir 100%,750,未開封 / 温度管理済みセラー保管,ジュヴレ・シャンベルタンの名門による特級。入手難度の高い一本です。,97,96,320000,120,赤,,,
ドメーヌ・デュジャック クロ・ド・ラ・ロシュ 2019 750ml,Domaine Dujac,2019,フランス / ブルゴーニュ,Clos de la Roche Grand Cru,Pinot Noir 100%,750,未開封 / 温度管理済みセラー保管,モレ・サン・ドニの特級畑。全房発酵由来の香り高いスタイルです。,96,95,130000,96,赤,,,
ドメーヌ・ルフレーヴ ピュリニー・モンラッシェ 1er クラヴォワヨン 2019 750ml,Domaine Leflaive,2019,フランス / ブルゴーニュ,Puligny-Montrachet 1er Cru Clavoillon,Chardonnay 100%,750,未開封 / 温度管理済みセラー保管,白ブルゴーニュの名門ルフレーヴの1級畑。ミネラル感と樽の調和が魅力です。,93,93,38000,72,白,,,
コント・ラフォン ムルソー 2020 750ml,Domaine des Comtes Lafon,2020,フランス / ブルゴーニュ,Meursault AOC,Chardonnay 100%,750,未開封 / 温度管理済みセラー保管,ムルソーの名手による村名。ふくらみのある果実味とナッツ香が特徴です。,92,92,26000,72,白,,,
サロン ブラン・ド・ブラン 2013 750ml,Salon,2013,フランス / シャンパーニュ,Champagne AOC Le Mesnil-sur-Oger,Chardonnay 100%,750,未開封 / 専用ケース付き,当たり年のみリリースされる単一畑・単一品種のシャンパーニュ。,97,96,190000,120,スパークリング,,,
クリュッグ ヴィンテージ 2008 750ml,Krug,2008,フランス / シャンパーニュ,Champagne AOC,Pinot Noir / Chardonnay / Meunier,750,未開封 / 専用ケース付き,長期熟成型のプレステージ・シャンパーニュ。2008年は評価の高いヴィンテージです。,98,97,95000,96,スパークリング,,,
ルイ・ロデレール クリスタル 2015 750ml,Louis Roederer,2015,フランス / シャンパーニュ,Champagne AOC,Chardonnay 60% / Pinot Noir 40%,750,未開封 / 専用ケース付き,ロシア皇帝のために造られた歴史を持つプレステージ・キュヴェ。,96,95,42000,72,スパークリング,,,
ボランジェ ラ・グランダネ 2015 750ml,Bollinger,2015,フランス / シャンパーニュ,Champagne AOC,Pinot Noir 70% / Chardonnay 30%,750,未開封,ピノ・ノワール主体の骨格あるヴィンテージ・シャンパーニュ。,95,94,28000,72,スパークリング,,,
シャトー・ラヤス シャトーヌフ・デュ・パプ 2019 750ml,Château Rayas,2019,フランス / ローヌ,Châteauneuf-du-Pape AOC,Grenache 100%,750,未開封 / 温度管理済みセラー保管,南ローヌの伝説的生産者。グルナッシュ100%の稀少なキュヴェです。,96,95,145000,96,赤,,,
ギガル コート・ロティ ラ・ムーリンヌ 2018 750ml,E. Guigal,2018,フランス / ローヌ,Côte-Rôtie AOC,Syrah 89% / Viognier 11%,750,未開封 / 木箱付き,ギガルのラ・ラ・ラ三兄弟の一つ。凝縮した果実と華やかな香りが特徴です。,99,97,88000,96,赤,,,
ガヤ バルバレスコ 2018 750ml,Gaja,2018,イタリア / ピエモンテ,Barbaresco DOCG,Nebbiolo 100%,750,未開封 / 木箱付き,イタリアワインの近代化を牽引したガヤの看板キュヴェ。,96,95,42000,72,赤,,,
ジャコモ・コンテルノ バローロ カシーナ・フランチア 2017 750ml,Giacomo Conterno,2017,イタリア / ピエモンテ,Barolo DOCG,Nebbiolo 100%,750,未開封 / 温度管理済みセラー保管,伝統派バローロの筆頭。自社畑カシーナ・フランチアの単一キュヴェです。,95,95,58000,96,赤,,,
マッセート 2018 750ml,Masseto,2018,イタリア / トスカーナ,Toscana IGT,Merlot 100%,750,未開封 / 木箱付き,イタリアを代表するメルロー単一。スーパータスカンの最高峰の一つです。,98,97,135000,96,赤,,,
ビオンディ・サンティ ブルネッロ・ディ・モンタルチーノ リゼルヴァ 2016 750ml,Biondi-Santi,2016,イタリア / トスカーナ,Brunello di Montalcino DOCG Riserva,Sangiovese 100%,750,未開封 / 木箱付き,ブルネッロの生みの親による最上級リゼルヴァ。長期熟成のポテンシャルを備えます。,97,96,78000,96,赤,,,
スクリーミング・イーグル 2018 750ml,Screaming Eagle,2018,アメリカ / カリフォルニア,Napa Valley AVA,Cab.S 80% / Merlot 12%,750,未開封 / 温度管理済みセラー保管,ナパのカルトワインの代名詞。年間生産量が限られる希少品です。,99,98,950000,120,赤,,,
ドミナス 2018 750ml,Dominus Estate,2018,アメリカ / カリフォルニア,Napa Valley AVA,Cab.S 86% / Cab.F 8%,750,未開封 / 木箱付き,ペトリュスのムエックス氏が手がけるナパの銘醸。ボルドー的な構造が特徴です。,98,96,52000,72,赤,,,
リッジ モンテベロ 2019 750ml,Ridge Vineyards,2019,アメリカ / カリフォルニア,Santa Cruz Mountains AVA,Cab.S 73% / Merlot 15%,750,未開封,パリスの審判で名を上げた歴史的キュヴェ。冷涼な山地由来の酸が魅力です。,96,95,32000,72,赤,,,
ベガ・シシリア ウニコ 2012 750ml,Vega Sicilia,2012,スペイン / カスティーリャ・イ・レオン,Ribera del Duero DO,Tempranillo 94% / Cab.S 6%,750,未開封 / 木箱付き,スペイン最高峰の赤。長期樽熟成を経てリリースされます。,97,96,62000,96,赤,,,
エゴン・ミュラー シャルツホーフベルガー リースリング アウスレーゼ 2019 750ml,Egon Müller,2019,ドイツ / モーゼル,Prädikatswein Auslese,Riesling 100%,750,未開封 / 専用ケース付き,モーゼルの至宝と称される甘口リースリング。酸と甘みの均衡が卓越しています。,97,96,68000,96,白,,,
グレイス 甲州 キュヴェ三澤 明野 2022 750ml,中央葡萄酒,2022,日本 / 山梨,山梨県北杜市明野産,甲州 100%,750,未開封,国際コンクールで高評価を得た日本の甲州。柑橘とミネラルの綺麗な酒質です。,,90,8500,48,白,,,
シャトー・メルシャン 椀子オムニス 2019 750ml,シャトー・メルシャン,2019,日本 / 長野,長野県上田市椀子ヴィンヤード産,Merlot / Cab.S / Cab.F,750,未開封 / 化粧箱付き,日本ワインのフラッグシップ・ボルドーブレンド。椀子ヴィンヤードの上位キュヴェです。,,91,15000,48,赤,,,
ドメーヌ・オット バイ・オット ロゼ 2023 750ml,Domaines Ott,2023,フランス / プロヴァンス,Côtes de Provence AOC,Grenache / Cinsault / Syrah,750,未開封,プロヴァンスロゼの老舗による定番。淡いサーモンピンクと繊細な果実味。,,89,4800,48,ロゼ,,,
