No,種別,銘柄,生産者,現行V(推定・要確認),検索キーワード,楽天検索URL,楽天最安値【記入】,実際のV【記入】,取扱店舗数【記入】,本数,現行リストの暫定価格,価格帯,参照先の推奨,現行V化で20万超のおそれ,備考
1,泡,モーリス・グルミエ ブリュット トラディション,Maurice Grumier,NV,モーリス グルミエ ブリュット トラディション 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%A2%E3%83%BC%E3%83%AA%E3%82%B9%20%E3%82%B0%E3%83%AB%E3%83%9F%E3%82%A8%20%E3%83%96%E3%83%AA%E3%83%A5%E3%83%83%E3%83%88%20%E3%83%88%E3%83%A9%E3%83%87%E3%82%A3%E3%82%B7%E3%83%A7%E3%83%B3%20750ml/,,,,6,10000,A,楽天最安値,,
2,泡,エグリ・ウーリエ ブリュット トラディション グラン・クリュ,Egly-Ouriet,NV,エグリ ウーリエ ブリュット トラディション グラン クリュ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%A8%E3%82%B0%E3%83%AA%20%E3%82%A6%E3%83%BC%E3%83%AA%E3%82%A8%20%E3%83%96%E3%83%AA%E3%83%A5%E3%83%83%E3%83%88%20%E3%83%88%E3%83%A9%E3%83%87%E3%82%A3%E3%82%B7%E3%83%A7%E3%83%B3%20%E3%82%B0%E3%83%A9%E3%83%B3%20%E3%82%AF%E3%83%AA%E3%83%A5%20750ml/,,,,6,20000,A,楽天最安値,,
3,泡,ボランジェ スペシャル・キュヴェ,Bollinger,NV,ボランジェ スペシャル キュヴェ 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%9C%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%20%E3%82%B9%E3%83%9A%E3%82%B7%E3%83%A3%E3%83%AB%20%E3%82%AD%E3%83%A5%E3%83%B4%E3%82%A7%20750ml/,,,,8,28000,A,楽天最安値,,
4,泡,ペリエ・ジュエ ベル エポック,Perrier-Jouët,2017,ペリエ ジュエ ベル エポック 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%9A%E3%83%AA%E3%82%A8%20%E3%82%B8%E3%83%A5%E3%82%A8%20%E3%83%99%E3%83%AB%20%E3%82%A8%E3%83%9D%E3%83%83%E3%82%AF%20750ml/,,,,4,45000,B,楽天最安値,,
5,泡,レア ミレジム,Rare Champagne,2013,レア ミレジム 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%AC%E3%82%A2%20%E3%83%9F%E3%83%AC%E3%82%B8%E3%83%A0%20750ml/,,,,3,48000,B,楽天最安値,,
6,泡,ドン ペリニヨン,Dom Pérignon,2016,ドン ペリニヨン 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%89%E3%83%B3%20%E3%83%9A%E3%83%AA%E3%83%8B%E3%83%A8%E3%83%B3%20750ml/,,,,8,48000,B,楽天最安値,,
7,泡,ジャクソン アヴィーズ シャン・カン,Jacquesson,2015,ジャクソン アヴィーズ シャン カン 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B8%E3%83%A3%E3%82%AF%E3%82%BD%E3%83%B3%20%E3%82%A2%E3%83%B4%E3%82%A3%E3%83%BC%E3%82%BA%20%E3%82%B7%E3%83%A3%E3%83%B3%20%E3%82%AB%E3%83%B3%20750ml/,,,,2,55000,C,楽天最安値,,
8,泡,ボランジェ ラ グランダネ,Bollinger,2015,ボランジェ ラ グランダネ 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%9C%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%20%E3%83%A9%20%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%80%E3%83%8D%20750ml/,,,,2,60000,C,楽天最安値,,
9,泡,クリュッグ グランド キュヴェ,Krug,171ème Édition,クリュッグ グランド キュヴェ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%AF%E3%83%AA%E3%83%A5%E3%83%83%E3%82%B0%20%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%20%E3%82%AD%E3%83%A5%E3%83%B4%E3%82%A7%20750ml/,,,,3,65000,C,楽天最安値,,
10,泡,テタンジェ コント ド シャンパーニュ ブラン・ド・ブラン,Taittinger,2013,テタンジェ コント ド シャンパーニュ ブラン ド ブラン 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%86%E3%82%BF%E3%83%B3%E3%82%B8%E3%82%A7%20%E3%82%B3%E3%83%B3%E3%83%88%20%E3%83%89%20%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%91%E3%83%BC%E3%83%8B%E3%83%A5%20%E3%83%96%E3%83%A9%E3%83%B3%20%E3%83%89%20%E3%83%96%E3%83%A9%E3%83%B3%20750ml/,,,,2,65000,C,楽天最安値,,
